model,description
500,"Immaculate bodywork, electric panoramic sunroof, IPOD connection, rear seat headrests, one lady owner from new, WHITE, 1 owner, Next MOT due 30/06/2015, Full service history, Electric sunroof, Electric windows, MP3 player, CD player, Height adjustable driver's seat, Folding rear seats, Spare wheel (Space-saver), Power steering, Steering wheel rake adjustment, Central locking, Driver's airbags, Side airbags, Passenger airbags. 4 seats, £4,500"
corsa,"SILVER, Next MOT due 18/06/2015, In Car Entertainment. 5 seats, REGISTERED ACCIDENT DAMAGED, NOW REPAIRED, ALL USUAL AUCTION TERMS AND CONDITIONS APPLY., POST CODE M26 2TA, FOR FULL STOCK LIST GO TO www.radcliffecarauctions.co.uk, SORRY WE CANNOT REPLY TO EMAILS., OUT OF HOURS MOBILE 07809387718., £290"
golf,"For sale  vw golf 1.4 Petrol 2 former keepers  MOT  1.9.2015 good  runner, SILVER, Electric sunroof, Electric windows, Air conditioning, Power steering, Central locking, Alarm. 5 seats, £440"
focus,"Metallic GREEN, TOYOTA AVENSIS  TOYOTA AVENSIS This car has just come in px its not a cat c , short mot hence £350, Upgrades - Central locking, Power steering, Black interior, Standard Features - Electric Windows, In Car Entertainment. 5 seats, Please visit our Facebook page Dave lodge autos we are based in ferndown and Poole, £350 p/x to clear"
focus,"SILVER, Next MOT due 19/03/2016, Part service history, Clean bodywork, Interior - Clean Condition, Tyre condition Good, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, SMOOTH RUNNER,GOOD CONDITION OF ITS AGE ,LOT OF SERVICE HISTORY,GIVE US CALL FOR VIEWING WE ARE OPEN 07 DAYS., WE ACCEPT ALL MAJOR CREDIT & DEBIT CARDS PAYMENT,  UNIT 7B, FRENCHS AVENUE, DUNSTABLE, LU6 1BH, £490 p/x to clear"
corsa,"Metallic BLUE, Next MOT due 10/05/2016, Beige Cloth interior, Alloy Wheels, Electric Windows, In Car Entertainment, Air conditioning, Airbags, Alarm, Central locking, Electric door mirrors, Electric windows, Folding rear seats, Height adjustable drivers seat, Immobiliser, Power steering, Radio, Remote central locking. 5 seats, NO OFFERS NO WARRANTY THIS CAR AT THIS PRICE IS A JOKE, £399"
focus,"RED, ++ 6 MONTHS MOT ++ ONLY 1 OWNER FROM NEW ++ 2 KEYS ++, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £490 p/x considered"
golf,"VW Golf 1.4 5 door in grey , N reg 1995 , MOT till October, 136k Miles, Power steering, Radio cassette player, 1 key , Nice drive, good runner, excellent on petrol, Engine is clean with no apparent leaks, Bad points:, Some rust on the drivers door, Needs a new front drivers tyre due to a slow puncture, Needs breaks sorting as there is a grinding sound, Spare wheel also needs a new tyre, , Due to moving house we can't find the MOT cert but an online search (see pic) shows the MOT dates., We have the V5., , Open to offers, selling as we have purchased a new car., Nice example of an older Golf., Codnor / Heanor , open to offers, GREY, Folding rear seats, Metallic paint, Power steering, Immobiliser, Driver's airbags. £450"
corsa,"BLUE, *HPI CLEAR* ECONOMICAL* LOW INSURANCE GROUP* IN GREAT CONDITION THROUGHOUT* CLOTH INTERIOR* CD PLAYER* CENTRAL LOCKING*, Sunroof Manual, Computer, In Car Entertainment. 5 seats, MOT TILL 05/06/2015 - CALL NOW TO BOOK AN APPOINTMENT!!, WE WILL TAKE ANY CAR IN PART - EXCHANGE - DEBIT & CREDIT CARDS ACCEPTED, £345 p/x welcome"
corsa,"Light Green Vauxhall Corsa Comfort with Slide/Tilt Rooflight & adjustable steering. Non smoking owner. Good and clean condition inside. Benefits from multi CD player, tape player,and radio. Tyres all good. Spare tyre never used. Two small parking bumps but otherwise very good bodywork., Serviced and repaired at local garage. Reliable car that is road ready., GREEN, 4 owners, Next MOT due 26/08/2015, Part service history, Manual sunroof, CD player, Height adjustable driver's seat, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Central locking. 5 seats, £480"
500,"RED, HPI CLEAR,ONE OWNER,MET RED WITH FULL RED LEATHER INTERIOR,PANORAMIC ROOF,, Next MOT due 01/08/2015, Last serviced at 72,566 miles, Service history, Red Full leather interior, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment. 4 seats, 110 BURLINGTON ROAD, NEW MALDEN, SURREY, KT3 4NS. ALL MAJOR CREDIT & DEBIT CARDS ACCEPTED., £4,450"
500,"SILVER, BARGAIN, £30 tax for 1 YEAR. Panaromic sunroof,, Upgrades - Sunroof, Standard Features - Satellite Navigation, Air-Conditioning, Climate Control, Start/Stop System, Alloy Wheels, Electric Windows, Radio/CD/MP3 Player. 4 seats, Viewing available anytime, kindly no time wasters. NO OFFERS, £3,995"
polo,"BLACK, 2000 vw polo 1400 cc 5 door in black drives superbly new cam belt 5000 miles ago mot jan 2016, Next MOT due 15/01/2016, 5 seats, 2000 vw polo 5 door 1400 cc  mot jan 2016 this car drives superbly body work very clean for age sound clean inside to and as said befor drive very very good located jun 5 m40, £485"
astra,"RED, Drives good bargain price needs to go, Electric Windows. 5 seats, £375 p/x to clear"
polo,"BLUE, For SALE  £600  Excellent example, Service history, MOT till 15/06/2015, New Alternator, Sunroof Electric, Alloy Wheels, Electric Windows, In Car Entertainment, Electric door mirrors, Height adjustable drivers seat, Radio, 3x3 point rear seat belts, Child locks & Isofix system, Airbags, Power steering, Immobiliser, Central locking. 5 seats, Good tyres condition,Any test and inspection welcome, Drive perfect, Good engine and gearbox, First to see will buy, Priced for quick SALE  £600, £600"
