label,message
ham,"Hey, how's it going? Wanna grab lunch today?"
ham,Don't forget the meeting at 3 PM.
spam,You have won a $1000 gift card! Text WIN to 12345 to claim it.
ham,Are you coming to the party tonight?
spam,Congratulations! You've been selected for a free vacation. Call now!
ham,Can you send me the report by tomorrow morning?
spam,"Get a free iPhone by clicking the link! Hurry, limited time offer!"
ham,I'll pick you up at 7 for the movie.
ham,Do you want to go for a run later?
spam,URGENT! Your account has been compromised. Call 1800-123-456 to fix it.
ham,Let's catch up over coffee this weekend.
spam,You've been pre-approved for a $5000 loan. Apply now!
ham,Are you available for a quick call this afternoon?
spam,Win a brand new car! Click here to participate.
ham,The document you requested has been sent.
spam,"Limited offer! Buy one, get one free at our store. Visit today!"
ham,Thanks for your help with the project.
spam,Claim your prize by clicking this link! Only a few hours left!
ham,How was your weekend? Hope you had a great time.
ham,Just wanted to check if you're free for dinner tomorrow.
ham,"Don't forget to send me the address later."
ham,"Meeting at 2 PM. Don't be late."
spam,"Win a free cruise to the Bahamas! Call 1-800-SPAM-NOW!"
ham,"Can you pick up some milk on your way home?"
spam,"Congratulations! You have been selected for a $500 gift card. Call now!"
ham,"Let's meet for lunch at 12:30."
spam,"You have been pre-approved for a $10,000 loan. Click here to claim it."
ham,"I'll be there in 10 minutes."
ham,"Are we still on for dinner tonight?"
spam,"URGENT! Your account is at risk. Call 123-456-7890 to secure it."
ham,"Did you see the game last night?"
spam,"You’ve won a $1000 shopping spree! Visit www.spamlink.com to claim."
ham,"I'll text you once I arrive."
ham,"Claim your free vacation to Hawaii! Click here."
ham, "Can you review the document and let me know your thoughts?"
spam,"Final notice: Your car warranty is about to expire. Call now."
ham,"Hey, can you send me that file by tonight?"
spam,You won a new car! Claim it now by clicking here.
ham,Let's meet at the coffee shop at 4 PM.
spam,Get a free subscription to our service by signing up today!
ham,Don't forget the meeting tomorrow at 10 AM.
spam,Congratulations! You've been selected for a $1000 prize. Click here to claim.
ham,Can you call me when you're free?
spam,Win a trip to Paris! Just click the link to enter.
ham,I'll be at the office all day. Let me know if you need anything.
spam,Limited offer! Get 50% off on all products. Buy now!
ham,Don't forget to bring the documents tomorrow.
spam,You've won a free laptop! Claim yours now.
ham,Are we still meeting at 3 PM today?
spam,Exclusive deal! Get 70% off on all electronics. Click here.
ham,Can you help me with the project this weekend?
spam,You have been pre-approved for a $5000 loan. Apply now!
ham,I'll pick you up at 7 for the dinner.
spam,Your account has been suspended. Click here to restore access.
ham,Are you free for a quick meeting this afternoon?
spam,Limited time offer! Get a free smartphone by signing up today.
ham,I'll call you once I finish the meeting.
spam,You've been selected to win a free vacation. Call now!
ham,What time is the team meeting tomorrow?
spam,Claim your free gift by clicking the link below.
ham,Can we reschedule the call to next week?
spam,Congratulations! You are a winner of our grand prize. Click here to claim.
ham,I’ll send you the details by email.
spam,Hurry! Get a 50% discount on all products. Offer ends soon.
ham,Are you coming to the event tonight?
spam,You've won a free gift card! Click here to claim it.
